,Modelo,Precio,Tamaño,Distancia,Tecnología,Resolución,Smart TV,Sonido,Altavoces,HDMI,Marca
82,TV HISENSE 65U8GQ (ULED - 65'' - 165 cm - 4K Ultra HD - Smart TV),979.99,65,1.98,LCD-LED,4K Ultra HD,Sí,2*10W+20W+2*10W,Sí,4,HISENSE
83,TV PHILIPS 50PUS7406 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),459.99,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
84,TV HISENSE 75A7GQ (QLED - 75'' - 189 cm - 4K Ultra HD - Smart TV),999.0,75,,LCD-LED,4K Ultra HD,Sí,30 W,2.0,3,HISENSE
85,TV SAMSUNG QE50Q60A (QLED - 50'' - 127 cm - 4K Ultra HD - Smart TV),719.99,50,,LCD-LED,4K Ultra HD,Sí,,2.0,3,SAMSUNG
86,TV SONY XR55A90JAEP (OLED - 55'' - 140 cm - 4K Ultra HD - Smart TV),2660.62,55,1.68,OLED,4K Ultra HD,Sí,60 W,,4,SONY
87,Proyector LG HU810PW (Láser - 4K Ultra HD - Smart TV),2399.0,nan,,,4K Ultra HD,Sí,10 W,2.0,3,LG
88,TV SAMSUNG UE65TU7025 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),743.77,65,1.98,LCD-LED,4K Ultra HD,Sí,20 W,,2,SAMSUNG
89,TV SAMSUNG QE65Q700T (QLED - 65'' - 165 cm - 8K Ultra HD - Smart TV),2619.77,65,2,LCD-LED,8K Ultra HD,Sí,60 W,4.2.2,4,SAMSUNG
90,TV LG 43NANO776PA (Nano Cell - 43'' - 109 cm - 4K Ultra HD - Smart TV),482.81,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
91,TV LG 65UP80006L (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),699.0,65,1.98,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
92,TV SAMSUNG UE50TU7025 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),582.01,50,1.52,LCD-LED,4K Ultra HD,Sí,20W,2,2,SAMSUNG
93,TV SAMSUNG UE75TU7025 (LED - 75'' - 189 cm - 4K Ultra HD - Smart TV),1099.0,75,,LCD-LED,4K Ultra HD,Sí,20W,2.0,2,SAMSUNG
94,TV HISENSE 43A7500F (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),405.97,43,1.31,LCD-LED,4K Ultra HD,Sí,14 W,2.0,4,HISENSE
95,TV SONY KD-43XH8596 (Caja Abierta - LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),445.77,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
96,TV LG 55SJ810V (Caja Abierta - LED - 55'' - 140 cm - 4K Ultra HD - Smart TV),497.97,55,,,4K Ultra HD,Apps y Web Browsing,,Sí,4,LG
97,TV SONY KD43X81J (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),599.99,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
